INFO 2024-12-22 03:47:49,798 autoreload 13020 123609276316544 Watching for file changes with StatReloader
DEBUG 2024-12-22 03:47:49,912 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/celery/utils/threads.py first seen with mtime 1734770433.6056767
DEBUG 2024-12-22 03:47:49,912 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/shortcuts.py first seen with mtime 1734749044.2322378
DEBUG 2024-12-22 03:47:49,912 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/contrib/messages/constants.py first seen with mtime 1734749044.732289
DEBUG 2024-12-22 03:47:49,912 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/lib/python3.11/importlib/resources/_legacy.py first seen with mtime 1734748747.9995978
DEBUG 2024-12-22 03:47:49,912 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/utils/text.py first seen with mtime 1734749044.9113073
DEBUG 2024-12-22 03:47:49,912 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/lib/python3.11/encodings/aliases.py first seen with mtime 1734748747.8105636
DEBUG 2024-12-22 03:47:49,912 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/redis/utils.py first seen with mtime 1734770433.071663
DEBUG 2024-12-22 03:47:49,912 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/rest_framework_simplejwt/token_blacklist/__init__.py first seen with mtime 1734774946.502639
DEBUG 2024-12-22 03:47:49,912 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/lib/python3.11/asyncio/exceptions.py first seen with mtime 1734748747.6875415
DEBUG 2024-12-22 03:47:49,912 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/lib/python3.11/email/errors.py first seen with mtime 1734748747.7915602
DEBUG 2024-12-22 03:47:49,912 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/redis/exceptions.py first seen with mtime 1734770433.070663
DEBUG 2024-12-22 03:47:49,912 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/sqlparse/formatter.py first seen with mtime 1734749044.115226
DEBUG 2024-12-22 03:47:49,912 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/contrib/admin/__init__.py first seen with mtime 1734749044.3492498
DEBUG 2024-12-22 03:47:49,912 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/lib/python3.11/secrets.py first seen with mtime 1734748747.6355321
DEBUG 2024-12-22 03:47:49,912 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/sqlparse/filters/output.py first seen with mtime 1734749044.1182263
DEBUG 2024-12-22 03:47:49,912 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/lib/python3.11/asyncio/base_futures.py first seen with mtime 1734748747.6825404
DEBUG 2024-12-22 03:47:49,912 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/celery/app/__init__.py first seen with mtime 1734770433.5976763
DEBUG 2024-12-22 03:47:49,912 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/celery/schedules.py first seen with mtime 1734770433.5976763
DEBUG 2024-12-22 03:47:49,912 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/contrib/messages/storage/__init__.py first seen with mtime 1734749044.733289
DEBUG 2024-12-22 03:47:49,912 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/cron_descriptor/__init__.py first seen with mtime 1734770522.991924
DEBUG 2024-12-22 03:47:49,912 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/utils/lorem_ipsum.py first seen with mtime 1734749044.9103072
DEBUG 2024-12-22 03:47:49,912 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/lib/python3.11/importlib/metadata/_functools.py first seen with mtime 1734748748.006599
DEBUG 2024-12-22 03:47:49,913 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/six.py first seen with mtime 1734770433.0616627
DEBUG 2024-12-22 03:47:49,913 autoreload 13020 123609276316544 File /home/lifan/Code/test/rediect/manage.py first seen with mtime 1734773102.8522475
DEBUG 2024-12-22 03:47:49,913 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/core/files/__init__.py first seen with mtime 1734749044.8433003
DEBUG 2024-12-22 03:47:49,913 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/db/models/functions/math.py first seen with mtime 1734749044.880304
DEBUG 2024-12-22 03:47:49,913 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/contrib/contenttypes/views.py first seen with mtime 1734749044.5602715
DEBUG 2024-12-22 03:47:49,913 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/lib/python3.11/urllib/response.py first seen with mtime 1734748748.1606266
DEBUG 2024-12-22 03:47:49,913 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/contrib/admin/sites.py first seen with mtime 1734749044.35225
DEBUG 2024-12-22 03:47:49,913 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/core/serializers/json.py first seen with mtime 1734749044.8563015
DEBUG 2024-12-22 03:47:49,913 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/core/checks/urls.py first seen with mtime 1734749044.8423002
DEBUG 2024-12-22 03:47:49,913 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/lib/python3.11/lib-dynload/termios.cpython-311-x86_64-linux-gnu.so first seen with mtime 1734748744.0
DEBUG 2024-12-22 03:47:49,913 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/db/models/query_utils.py first seen with mtime 1734749044.8763037
DEBUG 2024-12-22 03:47:49,913 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/asgiref/sync.py first seen with mtime 1734749044.165231
DEBUG 2024-12-22 03:47:49,913 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/conf/__init__.py first seen with mtime 1734749044.233238
DEBUG 2024-12-22 03:47:49,913 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/amqp/connection.py first seen with mtime 1734770433.4876735
DEBUG 2024-12-22 03:47:49,913 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/lib/python3.11/asyncio/runners.py first seen with mtime 1734748747.6945426
DEBUG 2024-12-22 03:47:49,913 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/db/models/signals.py first seen with mtime 1734749044.8763037
DEBUG 2024-12-22 03:47:49,913 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/db/models/functions/mixins.py first seen with mtime 1734749044.880304
DEBUG 2024-12-22 03:47:49,913 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/contrib/admin/options.py first seen with mtime 1734749044.35225
DEBUG 2024-12-22 03:47:49,913 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/kombu/log.py first seen with mtime 1734770433.507674
DEBUG 2024-12-22 03:47:49,913 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/rest_framework/schemas/generators.py first seen with mtime 1734774901.4909158
DEBUG 2024-12-22 03:47:49,913 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/lib/python3.11/asyncio/tasks.py first seen with mtime 1734748747.7005439
DEBUG 2024-12-22 03:47:49,913 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/dateutil/tz/_common.py first seen with mtime 1734770433.4336722
DEBUG 2024-12-22 03:47:49,913 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/contrib/messages/utils.py first seen with mtime 1734749044.733289
DEBUG 2024-12-22 03:47:49,913 autoreload 13020 123609276316544 File /home/lifan/Code/test/rediect/redirect/__init__.py first seen with mtime 1734771470.1674418
DEBUG 2024-12-22 03:47:49,913 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/contrib/auth/signals.py first seen with mtime 1734749044.5112665
DEBUG 2024-12-22 03:47:49,913 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/click/parser.py first seen with mtime 1734770433.34567
DEBUG 2024-12-22 03:47:49,913 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/views/generic/list.py first seen with mtime 1734749044.9163077
DEBUG 2024-12-22 03:47:49,913 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/lib/python3.11/importlib/abc.py first seen with mtime 1734748747.9925964
DEBUG 2024-12-22 03:47:49,913 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/core/cache/backends/filebased.py first seen with mtime 1734749044.8403
DEBUG 2024-12-22 03:47:49,913 autoreload 13020 123609276316544 File /home/lifan/.JetBrains/apps/pycharm-professional/plugins/python-ce/helpers/pycharm_display/datalore/__init__.py first seen with mtime 1733930.0
DEBUG 2024-12-22 03:47:49,913 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/lib/python3.11/pickle.py first seen with mtime 1734748747.6175287
DEBUG 2024-12-22 03:47:49,913 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/contrib/admin/templatetags/__init__.py first seen with mtime 1734749044.4652617
DEBUG 2024-12-22 03:47:49,913 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/core/files/locks.py first seen with mtime 1734749044.8453004
DEBUG 2024-12-22 03:47:49,914 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/contrib/postgres/forms/array.py first seen with mtime 1734749044.7372894
DEBUG 2024-12-22 03:47:49,914 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/sqlparse/keywords.py first seen with mtime 1734749044.116226
DEBUG 2024-12-22 03:47:49,914 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/lib/python3.11/unittest/case.py first seen with mtime 1734748748.1496248
DEBUG 2024-12-22 03:47:49,914 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/redis/asyncio/client.py first seen with mtime 1734770433.071663
DEBUG 2024-12-22 03:47:49,914 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/redis/connection.py first seen with mtime 1734770433.070663
DEBUG 2024-12-22 03:47:49,914 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/lib/python3.11/csv.py first seen with mtime 1734748747.5815222
DEBUG 2024-12-22 03:47:49,914 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/template/loaders/app_directories.py first seen with mtime 1734749044.9003062
DEBUG 2024-12-22 03:47:49,914 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/core/management/commands/runserver.py first seen with mtime 1734749044.8543015
DEBUG 2024-12-22 03:47:49,914 autoreload 13020 123609276316544 File /home/lifan/Code/test/rediect/apps/users/models.py first seen with mtime 1734837352.7914371
DEBUG 2024-12-22 03:47:49,914 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/billiard/compat.py first seen with mtime 1734770433.385671
DEBUG 2024-12-22 03:47:49,914 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/celery/__init__.py first seen with mtime 1734770433.5966763
DEBUG 2024-12-22 03:47:49,914 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/celery/utils/abstract.py first seen with mtime 1734770433.6046765
DEBUG 2024-12-22 03:47:49,914 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/redis/asyncio/__init__.py first seen with mtime 1734770433.071663
DEBUG 2024-12-22 03:47:49,914 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/lib/python3.11/lib-dynload/_decimal.cpython-311-x86_64-linux-gnu.so first seen with mtime 1734748747.0
DEBUG 2024-12-22 03:47:49,914 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/rest_framework/authentication.py first seen with mtime 1734774901.4829159
DEBUG 2024-12-22 03:47:49,914 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/views/generic/base.py first seen with mtime 1734749044.9153078
DEBUG 2024-12-22 03:47:49,914 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/lib/python3.11/unittest/signals.py first seen with mtime 1734748748.1536255
DEBUG 2024-12-22 03:47:49,914 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/core/serializers/base.py first seen with mtime 1734749044.8563015
DEBUG 2024-12-22 03:47:49,914 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/contrib/auth/checks.py first seen with mtime 1734749044.5092661
DEBUG 2024-12-22 03:47:49,914 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/views/decorators/debug.py first seen with mtime 1734749044.9143076
DEBUG 2024-12-22 03:47:49,914 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/rest_framework/exceptions.py first seen with mtime 1734774901.4829159
DEBUG 2024-12-22 03:47:49,914 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/rest_framework_simplejwt/settings.py first seen with mtime 1734774946.4996393
DEBUG 2024-12-22 03:47:49,914 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/lib/python3.11/concurrent/__init__.py first seen with mtime 1734748747.7115457
DEBUG 2024-12-22 03:47:49,914 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/contrib/messages/apps.py first seen with mtime 1734749044.732289
DEBUG 2024-12-22 03:47:49,914 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/db/models/query.py first seen with mtime 1734749044.8763037
DEBUG 2024-12-22 03:47:49,914 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/utils/timesince.py first seen with mtime 1734749044.9113073
DEBUG 2024-12-22 03:47:49,914 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/db/backends/utils.py first seen with mtime 1734749044.8583019
DEBUG 2024-12-22 03:47:49,914 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/celery/app/autoretry.py first seen with mtime 1734770433.5986764
DEBUG 2024-12-22 03:47:49,914 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/timezone_field/backends/base.py first seen with mtime 1734770523.0169246
DEBUG 2024-12-22 03:47:49,914 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/lib/python3.11/contextlib.py first seen with mtime 1734748747.5775216
DEBUG 2024-12-22 03:47:49,915 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/contrib/contenttypes/__init__.py first seen with mtime 1734749044.5592713
DEBUG 2024-12-22 03:47:49,915 autoreload 13020 123609276316544 File /home/lifan/Code/test/rediect/apps/orders/urls.py first seen with mtime 1734836098.0566468
DEBUG 2024-12-22 03:47:49,915 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/contrib/auth/forms.py first seen with mtime 1734749044.5092661
DEBUG 2024-12-22 03:47:49,915 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/lib/python3.11/wsgiref/util.py first seen with mtime 1734748748.1766295
DEBUG 2024-12-22 03:47:49,915 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/lib/python3.11/dataclasses.py first seen with mtime 1734748747.5815222
DEBUG 2024-12-22 03:47:49,915 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/contrib/admin/utils.py first seen with mtime 1734749044.3532503
DEBUG 2024-12-22 03:47:49,915 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/db/backends/base/base.py first seen with mtime 1734749044.8583019
DEBUG 2024-12-22 03:47:49,915 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/MySQLdb/constants/FIELD_TYPE.py first seen with mtime 1734750982.0202036
DEBUG 2024-12-22 03:47:49,915 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/apps/registry.py first seen with mtime 1734749044.2322378
DEBUG 2024-12-22 03:47:49,915 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/contrib/admin/exceptions.py first seen with mtime 1734749044.35025
DEBUG 2024-12-22 03:47:49,915 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/kombu/utils/compat.py first seen with mtime 1734770433.5116742
DEBUG 2024-12-22 03:47:49,915 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/lib/python3.11/urllib/parse.py first seen with mtime 1734748748.1586263
DEBUG 2024-12-22 03:47:49,915 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/kombu/utils/url.py first seen with mtime 1734770433.5116742
DEBUG 2024-12-22 03:47:49,915 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/celery/app/utils.py first seen with mtime 1734770433.5996764
DEBUG 2024-12-22 03:47:49,915 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/corsheaders/checks.py first seen with mtime 1734773997.8317628
DEBUG 2024-12-22 03:47:49,915 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/rest_framework/templatetags/rest_framework.py first seen with mtime 1734774901.5019155
DEBUG 2024-12-22 03:47:49,915 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/MySQLdb/__init__.py first seen with mtime 1734750982.0182037
DEBUG 2024-12-22 03:47:49,915 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/rest_framework/utils/formatting.py first seen with mtime 1734774901.5029154
DEBUG 2024-12-22 03:47:49,915 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/celery/fixups/__init__.py first seen with mtime 1734770433.6036766
DEBUG 2024-12-22 03:47:49,915 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/kombu/transport/__init__.py first seen with mtime 1734770433.509674
DEBUG 2024-12-22 03:47:49,915 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/core/files/utils.py first seen with mtime 1734749044.8463006
DEBUG 2024-12-22 03:47:49,915 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/http/cookie.py first seen with mtime 1734749044.8953056
DEBUG 2024-12-22 03:47:49,915 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/utils/choices.py first seen with mtime 1734749044.907307
DEBUG 2024-12-22 03:47:49,915 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/lib/python3.11/difflib.py first seen with mtime 1734748747.5845227
DEBUG 2024-12-22 03:47:49,915 autoreload 13020 123609276316544 File /home/lifan/Code/test/rediect/apps/videos/__init__.py first seen with mtime 1734751006.1580455
DEBUG 2024-12-22 03:47:49,915 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/click/_compat.py first seen with mtime 1734770433.3446698
DEBUG 2024-12-22 03:47:49,915 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/sqlparse/exceptions.py first seen with mtime 1734749044.115226
DEBUG 2024-12-22 03:47:49,915 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/lib/python3.11/email/base64mime.py first seen with mtime 1734748747.7885597
DEBUG 2024-12-22 03:47:49,915 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/core/files/temp.py first seen with mtime 1734749044.8453004
DEBUG 2024-12-22 03:47:49,915 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/forms/renderers.py first seen with mtime 1734749044.8853047
DEBUG 2024-12-22 03:47:49,915 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/celery/utils/objects.py first seen with mtime 1734770433.6046765
DEBUG 2024-12-22 03:47:49,916 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/contrib/auth/base_user.py first seen with mtime 1734749044.5082662
DEBUG 2024-12-22 03:47:49,916 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/lib/python3.11/http/client.py first seen with mtime 1734748747.9145825
DEBUG 2024-12-22 03:47:49,916 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/lib/python3.11/email/feedparser.py first seen with mtime 1734748747.7925603
DEBUG 2024-12-22 03:47:49,916 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/http/__init__.py first seen with mtime 1734749044.8943055
DEBUG 2024-12-22 03:47:49,916 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/celery/fixups/django.py first seen with mtime 1734770433.6036766
DEBUG 2024-12-22 03:47:49,916 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/lib/python3.11/numbers.py first seen with mtime 1734748747.6125278
DEBUG 2024-12-22 03:47:49,916 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/celery/app/base.py first seen with mtime 1734770433.5986764
DEBUG 2024-12-22 03:47:49,916 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/lib/python3.11/unittest/loader.py first seen with mtime 1734748748.150625
DEBUG 2024-12-22 03:47:49,916 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/rest_framework_simplejwt/views.py first seen with mtime 1734774946.4996393
DEBUG 2024-12-22 03:47:49,916 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/lib/python3.11/ssl.py first seen with mtime 1734748747.646534
DEBUG 2024-12-22 03:47:49,916 autoreload 13020 123609276316544 File /home/lifan/.pyenv/versions/3.11.11/envs/test/lib/python3.11/site-packages/django/contrib/messages/storage/base.py first seen with mtime 1734749044.733289
